Relative_X,Relative_Y,Relative_Z
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.656355690128948233e-01
0.000000000000000000e+00,0.000000000000000000e+00,-9.656355690128948233e-01
0.000000000000000000e+00,9.656355690128948233e-01,0.000000000000000000e+00
0.000000000000000000e+00,-9.656355690128948233e-01,0.000000000000000000e+00
9.656355690128948233e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.656355690128948233e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.983978011979068756e-01,4.828177845064474116e-01,7.812155857043543428e-01
2.983978011979068756e-01,-4.828177845064474116e-01,7.812155857043543428e-01
-2.983978011979068756e-01,4.828177845064474116e-01,7.812155857043543428e-01
-2.983978011979068756e-01,-4.828177845064474116e-01,7.812155857043543428e-01
2.983978011979068756e-01,4.828177845064474116e-01,-7.812155857043543428e-01
2.983978011979068756e-01,-4.828177845064474116e-01,-7.812155857043543428e-01
-2.983978011979068756e-01,4.828177845064474116e-01,-7.812155857043543428e-01
-2.983978011979068756e-01,-4.828177845064474116e-01,-7.812155857043543428e-01
7.812155857043543428e-01,2.983978011979068756e-01,4.828177845064474116e-01
7.812155857043543428e-01,-2.983978011979068756e-01,4.828177845064474116e-01
-7.812155857043543428e-01,2.983978011979068756e-01,4.828177845064474116e-01
-7.812155857043543428e-01,-2.983978011979068756e-01,4.828177845064474116e-01
7.812155857043543428e-01,2.983978011979068756e-01,-4.828177845064474116e-01
7.812155857043543428e-01,-2.983978011979068756e-01,-4.828177845064474116e-01
-7.812155857043543428e-01,2.983978011979068756e-01,-4.828177845064474116e-01
-7.812155857043543428e-01,-2.983978011979068756e-01,-4.828177845064474116e-01
4.828177845064474116e-01,7.812155857043543428e-01,2.983978011979068756e-01
4.828177845064474116e-01,-7.812155857043543428e-01,2.983978011979068756e-01
-4.828177845064474116e-01,7.812155857043543428e-01,2.983978011979068756e-01
-4.828177845064474116e-01,-7.812155857043543428e-01,2.983978011979068756e-01
4.828177845064474116e-01,7.812155857043543428e-01,-2.983978011979068756e-01
4.828177845064474116e-01,-7.812155857043543428e-01,-2.983978011979068756e-01
-4.828177845064474116e-01,7.812155857043543428e-01,-2.983978011979068756e-01
-4.828177845064474116e-01,-7.812155857043543428e-01,-2.983978011979068756e-01
0.000000000000000000e+00,2.223443221863748431e-01,1.079281574324882031e+00
2.223443221863748431e-01,1.079281574324882031e+00,0.000000000000000000e+00
1.079281574324882031e+00,0.000000000000000000e+00,2.223443221863748431e-01
0.000000000000000000e+00,2.223443221863748431e-01,-1.079281574324882031e+00
2.223443221863748431e-01,-1.079281574324882031e+00,0.000000000000000000e+00
-1.079281574324882031e+00,0.000000000000000000e+00,2.223443221863748431e-01
0.000000000000000000e+00,-2.223443221863748431e-01,1.079281574324882031e+00
-2.223443221863748431e-01,1.079281574324882031e+00,0.000000000000000000e+00
1.079281574324882031e+00,0.000000000000000000e+00,-2.223443221863748431e-01
0.000000000000000000e+00,-2.223443221863748431e-01,-1.079281574324882031e+00
-2.223443221863748431e-01,-1.079281574324882031e+00,0.000000000000000000e+00
-1.079281574324882031e+00,0.000000000000000000e+00,-2.223443221863748431e-01
4.446870113531906088e-01,9.418693243966256290e-01,3.597517921847312450e-01
9.418693243966256290e-01,3.597517921847312450e-01,4.446870113531906088e-01
3.597517921847312450e-01,4.446870113531906088e-01,9.418693243966256290e-01
4.446870113531906088e-01,9.418693243966256290e-01,-3.597517921847312450e-01
9.418693243966256290e-01,-3.597517921847312450e-01,4.446870113531906088e-01
-3.597517921847312450e-01,4.446870113531906088e-01,9.418693243966256290e-01
4.446870113531906088e-01,-9.418693243966256290e-01,3.597517921847312450e-01
-9.418693243966256290e-01,3.597517921847312450e-01,4.446870113531906088e-01
3.597517921847312450e-01,4.446870113531906088e-01,-9.418693243966256290e-01
4.446870113531906088e-01,-9.418693243966256290e-01,-3.597517921847312450e-01
-9.418693243966256290e-01,-3.597517921847312450e-01,4.446870113531906088e-01
-3.597517921847312450e-01,4.446870113531906088e-01,-9.418693243966256290e-01
-4.446870113531906088e-01,9.418693243966256290e-01,3.597517921847312450e-01
9.418693243966256290e-01,3.597517921847312450e-01,-4.446870113531906088e-01
3.597517921847312450e-01,-4.446870113531906088e-01,9.418693243966256290e-01
-4.446870113531906088e-01,9.418693243966256290e-01,-3.597517921847312450e-01
9.418693243966256290e-01,-3.597517921847312450e-01,-4.446870113531906088e-01
-3.597517921847312450e-01,-4.446870113531906088e-01,9.418693243966256290e-01
-4.446870113531906088e-01,-9.418693243966256290e-01,3.597517921847312450e-01
-9.418693243966256290e-01,3.597517921847312450e-01,-4.446870113531906088e-01
3.597517921847312450e-01,-4.446870113531906088e-01,-9.418693243966256290e-01
-4.446870113531906088e-01,-9.418693243966256290e-01,-3.597517921847312450e-01
-9.418693243966256290e-01,-3.597517921847312450e-01,-4.446870113531906088e-01
-3.597517921847312450e-01,-4.446870113531906088e-01,-9.418693243966256290e-01
2.223444108986221135e-01,8.044420786312147520e-01,7.195287481090310022e-01
8.044420786312147520e-01,7.195287481090310022e-01,2.223444108986221135e-01
7.195287481090310022e-01,2.223444108986221135e-01,8.044420786312147520e-01
2.223444108986221135e-01,8.044420786312147520e-01,-7.195287481090310022e-01
8.044420786312147520e-01,-7.195287481090310022e-01,2.223444108986221135e-01
-7.195287481090310022e-01,2.223444108986221135e-01,8.044420786312147520e-01
2.223444108986221135e-01,-8.044420786312147520e-01,7.195287481090310022e-01
-8.044420786312147520e-01,7.195287481090310022e-01,2.223444108986221135e-01
7.195287481090310022e-01,2.223444108986221135e-01,-8.044420786312147520e-01
2.223444108986221135e-01,-8.044420786312147520e-01,-7.195287481090310022e-01
-8.044420786312147520e-01,-7.195287481090310022e-01,2.223444108986221135e-01
-7.195287481090310022e-01,2.223444108986221135e-01,-8.044420786312147520e-01
-2.223444108986221135e-01,8.044420786312147520e-01,7.195287481090310022e-01
8.044420786312147520e-01,7.195287481090310022e-01,-2.223444108986221135e-01
7.195287481090310022e-01,-2.223444108986221135e-01,8.044420786312147520e-01
-2.223444108986221135e-01,8.044420786312147520e-01,-7.195287481090310022e-01
8.044420786312147520e-01,-7.195287481090310022e-01,-2.223444108986221135e-01
-7.195287481090310022e-01,-2.223444108986221135e-01,8.044420786312147520e-01
-2.223444108986221135e-01,-8.044420786312147520e-01,7.195287481090310022e-01
-8.044420786312147520e-01,7.195287481090310022e-01,-2.223444108986221135e-01
7.195287481090310022e-01,-2.223444108986221135e-01,-8.044420786312147520e-01
-2.223444108986221135e-01,-8.044420786312147520e-01,-7.195287481090310022e-01
-8.044420786312147520e-01,-7.195287481090310022e-01,-2.223444108986221135e-01
-7.195287481090310022e-01,-2.223444108986221135e-01,-8.044420786312147520e-01
